gene,regulated,GO_IDS
ADGRB2,down,GO:0004930 GO:0005515 GO:0007166 GO:0007186 GO:0007189 GO:0007422 GO:0016525 GO:0033173
IL24,down,GO:0005125 GO:0005515 GO:0006915 GO:0007165 GO:0008284 GO:0008285 GO:0030336 GO:0042060 GO:0042501 GO:0042531 GO:0071222 GO:0071353
SCG2,down,GO:0005125 GO:0005515 GO:0042056 GO:0000165 GO:0001525 GO:0001937 GO:0001938 GO:0006954 GO:0009306 GO:0035556 GO:0043542 GO:0048245 GO:0050918 GO:0050930 GO:2000352 GO:2001237
PCDH1,down,GO:0005509 GO:0007155 GO:0007156 GO:0007267 GO:0007399
CPA4,down,GO:0004181 GO:0008270 GO:0006508 GO:0016573
MAL2,down,GO:0005515 GO:0019911 GO:0042552 GO:0045056
DHRS2,down,GO:0004090 GO:0005515 GO:0016616 GO:0008207 GO:0008285 GO:0009636 GO:0022900 GO:0034599 GO:0043011 GO:0043066
MMP15,down,GO:0004222 GO:0005515 GO:0008047 GO:0008270 GO:0070006 GO:0006508 GO:0022617 GO:0030198 GO:0030574 GO:0032355 GO:0035987 GO:0036211 GO:0050790
MAPT,down,GO:0003677 GO:0003680 GO:0003690 GO:0003697 GO:0003723 GO:0003779 GO:0005515 GO:0008017 GO:0017124 GO:0019899 GO:0019901 GO:0030674 GO:0034185 GO:0034452 GO:0035091 GO:0042802 GO:0043565 GO:0051087 GO:0051721 GO:0051879 GO:0071813 GO:0099077 GO:0099609 GO:1902936 GO:0000226 GO:0001774 GO:0006475 GO:0006919 GO:0007267 GO:0007613 GO:0010288 GO:0010506 GO:0010629 GO:0010917 GO:0016072 GO:0019896 GO:0021954 GO:0031110 GO:0031113 GO:0031116 GO:0031122 GO:0031175 GO:0032930 GO:0033044 GO:0033673 GO:0034063 GO:0034605 GO:0034614 GO:0045773 GO:0046785 GO:0048143 GO:0048167 GO:0048312 GO:0048699 GO:0050808 GO:0050848 GO:0051258 GO:0061564 GO:0070507 GO:0072386 GO:0090140 GO:0090258 GO:0097435 GO:0098930 GO:1900034 GO:1900452 GO:1901216 GO:1902474 GO:1902988 GO:1903748 GO:1903829 GO:1904428 GO:1905689 GO:1990000 GO:1990090 GO:1990416 GO:2001020
SLCO4A1,up,GO:0005515 GO:0008514 GO:0015132 GO:0015347 GO:0015349 GO:0015732 GO:0043252 GO:0055085 GO:0070327
RFPL4A,down,GO:0004842 GO:0005515 GO:0046872 GO:0016567 GO:0045893
CYFIP2,down,GO:0000340 GO:0005515 GO:0031267 GO:0000902 GO:0006915 GO:0030833 GO:0045862 GO:0051388 GO:0097202 GO:0097484 GO:0098609
RFPL4AL1,down,GO:0004842 GO:0046872 GO:0016567 GO:0045893
ATP1A3,down,GO:0001540 GO:0005391 GO:0005515 GO:0005524 GO:0016887 GO:0019829 GO:0031748 GO:0046872 GO:0051087 GO:1990239 GO:0006883 GO:0010248 GO:0021987 GO:0030007 GO:0036376 GO:0060075 GO:0071300 GO:0071383 GO:0086064 GO:0097067 GO:1902600 GO:1903416 GO:1904646 GO:1990535 GO:1990573
SERPINB2,down,GO:0004867 GO:0010951 GO:0042060 GO:0042730 GO:0043066
PHF19,up,GO:0003677 GO:0003682 GO:0005515 GO:0035064 GO:0046872 GO:0000122 GO:0006325 GO:0006355 GO:0019827 GO:0048863 GO:0061087
KRTAP2-3,down,
KREMEN1,down,GO:0005515 GO:0006915 GO:0007154 GO:0007275 GO:0016055 GO:0030279 GO:0048681 GO:0060173 GO:0060828 GO:0090090
TSPAN13,down,GO:0005246 GO:1903169
CXCL8,down,GO:0005153 GO:0005515 GO:0008009 GO:0008201 GO:0045236 GO:0001525 GO:0002237 GO:0006935 GO:0006954 GO:0007165 GO:0007186 GO:0008285 GO:0010628 GO:0010629 GO:0019722 GO:0030155 GO:0030593 GO:0031328 GO:0031623 GO:0034976 GO:0035556 GO:0042119 GO:0044344 GO:0045091 GO:0045744 GO:0045766 GO:0048566 GO:0050930 GO:0060354 GO:0061844 GO:0070098 GO:0071222 GO:0071347 GO:0071356 GO:0090023 GO:2000535
PTPRU,down,GO:0004725 GO:0005001 GO:0005515 GO:0008013 GO:0006470 GO:0007155 GO:0007185 GO:0008285 GO:0030154 GO:0030336 GO:0031100 GO:0034109 GO:0034394 GO:0051384 GO:0090090 GO:2000049
ANKRD1,down,GO:0002039 GO:0003677 GO:0003713 GO:0003714 GO:0005515 GO:0031432 GO:0042826 GO:0061629 GO:0070412 GO:0006357 GO:0035914 GO:0035994 GO:0043065 GO:0043517 GO:0045214 GO:0045892 GO:0045893 GO:0050714 GO:0055008 GO:0070528 GO:0071222 GO:0071260 GO:0071347 GO:0071356 GO:0071466 GO:0071560 GO:2000279
NANOS1,down,GO:0003729 GO:0005515 GO:0008270 GO:0030371 GO:0001558 GO:0001894 GO:0010608 GO:0010631 GO:0016477 GO:0017148 GO:0048477 GO:0098749 GO:1900153
KRTAP2-4,down,
MAP2,down,GO:0002162 GO:0005198 GO:0005515 GO:0005516 GO:0008017 GO:0048156 GO:0000226 GO:0001578 GO:0016358 GO:0021954 GO:0030517 GO:0031113 GO:0031115 GO:0031175 GO:0032880 GO:0048813 GO:1901953 GO:1902513 GO:1903744 GO:1904527
SPINT1,down,GO:0004867 GO:0001843 GO:0008544 GO:0010951 GO:0030198 GO:0045687 GO:0060429 GO:0060670 GO:0060674 GO:0071773 GO:2000178
C1orf116,down,GO:0003674 GO:0005515 GO:0008150
TPPP,down,GO:0000287 GO:0003924 GO:0005515 GO:0008017 GO:0015631 GO:0042803 GO:0001578 GO:0014003 GO:0030953 GO:0031334 GO:0031643 GO:0032273 GO:0032288 GO:0046785 GO:0048709 GO:0051301 GO:0051418 GO:0070507 GO:1904428
