gene,regulated,GO_IDS
NEAT1,up,GO:0005515 GO:0035198 GO:1905172 GO:0035195 GO:0050729 GO:0060965 GO:1901647
RPL39,down,GO:0003723 GO:0003735 GO:0002181 GO:0002227 GO:0006412 GO:0019731 GO:0050830 GO:0061844
LENG8,up,
PABPC1L,up,
LOC107984338,up,
FHOD1,up,GO:0005515 GO:0019904 GO:0042802 GO:0043621 GO:0051015 GO:0007097 GO:0030866 GO:0045944 GO:0051492 GO:0051496 GO:0051660
CCNL2,up,GO:0005515 GO:0016538 GO:0006357 GO:0042981 GO:0043484 GO:0046605 GO:0050790 GO:0051726
LTB4R,up,GO:0000166 GO:0001632 GO:0004974 GO:0008528 GO:0006936 GO:0006954 GO:0006955 GO:0007186 GO:0007200 GO:0007218 GO:0061737
DDX12P,up,GO:0003677 GO:0003678 GO:0003723 GO:0003724 GO:0005524 GO:0016887 GO:0006259 GO:0032508 GO:0034085
GOLGA8B,up,
OGT,up,GO:0005515 GO:0005547 GO:0008375 GO:0031490 GO:0097363 GO:0000122 GO:0000423 GO:0006110 GO:0006111 GO:0006325 GO:0006357 GO:0006493 GO:0006915 GO:0007165 GO:0007584 GO:0016485 GO:0030097 GO:0030336 GO:0030512 GO:0031397 GO:0032435 GO:0032868 GO:0032922 GO:0035020 GO:0043981 GO:0043982 GO:0043984 GO:0045862 GO:0045893 GO:0045944 GO:0046626 GO:0048015 GO:0051571 GO:0051963 GO:0060544 GO:0061087 GO:0098696 GO:0120162 GO:1900095 GO:1902455 GO:1902459
PDXDC2P-NPIPB14P,up,GO:0016831 GO:0030170 GO:0019752
SLC26A6,up,GO:0005254 GO:0005452 GO:0008271 GO:0015106 GO:0015108 GO:0015116 GO:0015499 GO:0015562 GO:0019531 GO:0030165 GO:0006811 GO:0006821 GO:0008272 GO:0015701 GO:0015724 GO:0015797 GO:0019532 GO:0030321 GO:0042045 GO:0046724 GO:0048240 GO:0050892 GO:0051453 GO:0051454 GO:0051649 GO:0070633 GO:0071320 GO:0071332 GO:0071346 GO:1902358 GO:1902476 GO:2001150
CDH24,up,GO:0005509 GO:0045296 GO:0000902 GO:0007043 GO:0007156 GO:0007275 GO:0016339 GO:0034332 GO:0098609 GO:0098742
GOLGA8A,up,
MAPK8IP3,up,GO:0005078 GO:0005515 GO:0008432 GO:0019894 GO:0030159 GO:0016192 GO:0031103 GO:0043066 GO:0046328 GO:0046330 GO:0050821 GO:0061564 GO:0099641
ABCC5,up,GO:0005524 GO:0008514 GO:0008559 GO:0015216 GO:0015232 GO:0015562 GO:0022884 GO:0034634 GO:0042626 GO:0042910 GO:0043225 GO:1901505 GO:0006805 GO:0006855 GO:0015698 GO:0015865 GO:0030213 GO:0034775 GO:0035351 GO:0042908 GO:0055085 GO:0070730 GO:0070731 GO:0098838 GO:0140115 GO:0150104
OSBPL7,up,GO:0005515 GO:0015248 GO:0015485 GO:0032934 GO:0006699 GO:0010506 GO:0015918 GO:0071397 GO:1901800
TARBP1,up,GO:0003723 GO:0016423 GO:0006357 GO:0030488
COX7C,down,GO:0005515 GO:0006091 GO:0006123 GO:0045333
TUBGCP6,up,GO:0008017 GO:0043015 GO:0051011 GO:0000278 GO:0007020 GO:0031122 GO:0051225 GO:0051321
HERC2P2,up,
